通道1	通道2	通道3	通道4	通道5	通道6	
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:17
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:18
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
-17.000000	-19.000000	16.000000	19.000000	21.000000	-8.000000	2023/5/21 星期日 11:09:19
